"","program","programska_klasifikacija","funkcija","ekonomska_klasifikacija","budzet","sopstveni_izvori","ostali_izvori","grad"
"1","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-7700000,0,0,"Kragujevac"
"2","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-1350000,0,0,"Kragujevac"
"3","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-90000,0,0,"Kragujevac"
"4","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-1.3e+07,0,0,"Kragujevac"
"5","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СТАЛНИ ТРОШКОВИ",-250000,0,0,"Kragujevac"
"6","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ТРОШКОВИ ПУТОВАЊА",-460000,0,0,"Kragujevac"
"7","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","УСЛУГЕ ПО УГОВОРУ",-63350000,0,0,"Kragujevac"
"8","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","МАТЕРИЈАЛ",-2e+05,0,0,"Kragujevac"
"9","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-69000,0,0,"Kragujevac"
"10","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАКНАДА ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА",-1100000,0,0,"Kragujevac"
"11","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА",-4e+06,0,0,"Kragujevac"
"12","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",-5050000,0,0,"Kragujevac"
"13","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-26800000,0,0,"Kragujevac"
"14","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-4600000,0,0,"Kragujevac"
"15","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-1e+05,0,0,"Kragujevac"
"16","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-450000,0,0,"Kragujevac"
"17","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ТРОШКОВИ ПУТОВАЊА",-915000,0,0,"Kragujevac"
"18","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","УСЛУГЕ ПО УГОВОРУ",-2e+05,0,0,"Kragujevac"
"19","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","МАТЕРИЈАЛ",-1e+05,0,0,"Kragujevac"
"20","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-262000,0,0,"Kragujevac"
"21","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-11700000,0,0,"Kragujevac"
"22","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-2e+06,0,0,"Kragujevac"
"23","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-210000,0,0,"Kragujevac"
"24","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-1050000,0,0,"Kragujevac"
"25","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ТРОШКОВИ ПУТОВАЊА",-1260000,0,0,"Kragujevac"
"26","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","УСЛУГЕ ПО УГОВОРУ",-3300000,0,0,"Kragujevac"
"27","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","МАТЕРИЈАЛ",-1e+05,0,0,"Kragujevac"
"28","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-122000,0,0,"Kragujevac"
"29","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-8200000,0,0,"Kragujevac"
"30","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-1400000,0,0,"Kragujevac"
"31","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-1e+05,0,0,"Kragujevac"
"32","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-220000,0,0,"Kragujevac"
"33","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","ТРОШКОВИ ПУТОВАЊА",-150000,0,0,"Kragujevac"
"34","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","УСЛУГЕ ПО УГОВОРУ",-150000,0,0,"Kragujevac"
"35","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","МАТЕРИЈАЛ",-1e+05,0,0,"Kragujevac"
"36","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Омбудсман","Судови","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-70000,0,0,"Kragujevac"
"37","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-13500000,0,0,"Kragujevac"
"38","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-2350000,0,0,"Kragujevac"
"39","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-180000,0,0,"Kragujevac"
"40","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-5e+05,0,0,"Kragujevac"
"41","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","ТРОШКОВИ ПУТОВАЊА",-3e+05,0,0,"Kragujevac"
"42","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","УСЛУГЕ ПО УГОВОРУ",-1120000,0,0,"Kragujevac"
"43","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",-50000,0,0,"Kragujevac"
"44","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","МАТЕРИЈАЛ",-350000,0,0,"Kragujevac"
"45","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Општинско/градско правобранилаштво","Судови","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-108000,0,0,"Kragujevac"
"46","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-165889000,0,0,"Kragujevac"
"47","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-28551000,0,0,"Kragujevac"
"48","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДЕ У НАТУРИ",-3078000,0,0,"Kragujevac"
"49","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-2482000,0,0,"Kragujevac"
"50","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-6092000,0,0,"Kragujevac"
"51","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-2480000,0,0,"Kragujevac"
"52","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СТАЛНИ ТРОШКОВИ",-74751000,0,0,"Kragujevac"
"53","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ТРОШКОВИ ПУТОВАЊА",-2300000,0,0,"Kragujevac"
"54","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","УСЛУГЕ ПО УГОВОРУ",-90550000,0,0,"Kragujevac"
"55","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","УСЛУГЕ ПО УГОВОРУ",0,0,-5e+05,"Kragujevac"
"56","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",-1550000,0,0,"Kragujevac"
"57","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",-31270000,0,0,"Kragujevac"
"58","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","МАТЕРИЈАЛ",-28670000,0,0,"Kragujevac"
"59","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-1341000,0,0,"Kragujevac"
"60","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",-1350000,0,0,"Kragujevac"
"61","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",-4e+05,0,0,"Kragujevac"
"62","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА",-1100000,0,0,"Kragujevac"
"63","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","МАШИНЕ И ОПРЕМА",-37250000,0,0,"Kragujevac"
"64","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НЕМАТЕРИЈАЛНА ИМОВИНА",-2.4e+07,0,0,"Kragujevac"
"65","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште јавне услуге некласификоване на другом месту","СТАЛНИ ТРОШКОВИ",-6e+06,0,0,"Kragujevac"
"66","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште јавне услуге некласификоване на другом месту","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",-5e+07,0,0,"Kragujevac"
"67","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Текућа резерва","Опште јавне услуге некласификоване на другом месту","СРЕДСТВА РЕЗЕРВЕ",-1e+08,0,0,"Kragujevac"
"68","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Стална резерва","Опште јавне услуге некласификоване на другом месту","СРЕДСТВА РЕЗЕРВЕ",-1e+07,0,0,"Kragujevac"
"69","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Сервисирање јавног дуга","Трансакције јавног дуга","ОТПЛАТА КАМАТЕ ПО ДОМАЋИМ КРЕДИТИМА",-113817000,0,0,"Kragujevac"
"70","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Сервисирање јавног дуга","Трансакције јавног дуга","ОТПЛАТА КАМАТЕ ПО ИНОСТРАНИМ КРЕДИТИМА",-2.4e+07,0,0,"Kragujevac"
"71","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Сервисирање јавног дуга","Трансакције јавног дуга","ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА",-1.2e+07,0,0,"Kragujevac"
"72","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Сервисирање јавног дуга","Трансакције јавног дуга","ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА",-312400000,0,0,"Kragujevac"
"73","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Сервисирање јавног дуга","Трансакције јавног дуга","ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА",-1.85e+08,0,0,"Kragujevac"
"74","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-102907000,0,0,"Kragujevac"
"75","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-17682000,0,0,"Kragujevac"
"76","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДЕ У НАТУРИ",-195000,0,0,"Kragujevac"
"77","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-9e+05,0,0,"Kragujevac"
"78","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-2700000,0,0,"Kragujevac"
"79","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-649000,0,0,"Kragujevac"
"80","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СТАЛНИ ТРОШКОВИ",-2e+05,0,0,"Kragujevac"
"81","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ТРОШКОВИ ПУТОВАЊА",-3e+05,0,0,"Kragujevac"
"82","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","УСЛУГЕ ПО УГОВОРУ",-7e+06,0,0,"Kragujevac"
"83","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","МАТЕРИЈАЛ",-150000,0,0,"Kragujevac"
"84","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-896000,0,0,"Kragujevac"
"85","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",-9e+05,0,0,"Kragujevac"
"86","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА",-1e+05,0,0,"Kragujevac"
"87","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште јавне услуге некласификоване на другом месту","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",-3e+06,0,0,"Kragujevac"
"88","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште јавне услуге некласификоване на другом месту","МАТЕРИЈАЛ",-1e+06,0,0,"Kragujevac"
"89","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-75158000,0,0,"Kragujevac"
"90","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-12954000,0,0,"Kragujevac"
"91","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДЕ У НАТУРИ",-122000,0,0,"Kragujevac"
"92","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-1688000,0,0,"Kragujevac"
"93","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-2517000,0,0,"Kragujevac"
"94","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-471000,0,0,"Kragujevac"
"95","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СТАЛНИ ТРОШКОВИ",-2.7e+07,0,0,"Kragujevac"
"96","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ТРОШКОВИ ПУТОВАЊА",-1060000,0,0,"Kragujevac"
"97","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","УСЛУГЕ ПО УГОВОРУ",-18800000,0,0,"Kragujevac"
"98","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",-2.35e+08,0,0,"Kragujevac"
"99","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",-1500000,0,0,"Kragujevac"
"100","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","МАТЕРИЈАЛ",-650000,0,0,"Kragujevac"
"101","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-663000,0,0,"Kragujevac"
"102","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",-47150000,0,0,"Kragujevac"
"103","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",-40700000,0,0,"Kragujevac"
"104","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА",-3e+05,0,0,"Kragujevac"
"105","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ",-7e+07,0,0,"Kragujevac"
"106","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","МАШИНЕ И ОПРЕМА",-2e+05,0,0,"Kragujevac"
"107","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","НЕМАТЕРИЈАЛНА ИМОВИНА",-3e+07,0,0,"Kragujevac"
"108","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Опште услуге","ЗЕМЉИШТЕ",-3.2e+08,0,0,"Kragujevac"
